LEA_CODE,LEA_NAME,AR,AW,AP,BT,BS,D,K,PA,PS,PF,PW,R,RW,SA,SO,IM,# of acts,ADM,crime_rate,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,LEA_CODE,LEA_Name,d_Total,d_Female,d_Male,d_Asian,d_Black,d_Hispanic,d_American_Indian,d_Two-or-More-Races,d_NHPI,d_White,District_Name,Growth_AIG,All Students,Growth_American Indian,Growth_Asian,Growth_Black,Growth_ED,Growth_ELL,Growth_Hispanic,Growth_SwD,Growth_MultiRacial,Growth_White
600,Charlotte-Mecklenburg Schools,0,8,239,0,0,0,0,85,545,22,277,0,0,24,0,0,1200,146661,8.18,,,,,,,600,Charlotte-Mecklenburg Schools,1068.0,399.0,669.0,26.0,402.0,471.0,3.0,22.0,0.0,144.0,Mooresville City Schools,2.16,4.83,,0.9,2.18,2.33,1.51,1.82,1.02,1.29,3.43
610,Mitchell County Schools,0,0,0,0,0,0,0,0,8,1,5,0,0,1,0,0,15,1824,8.22,,,,,,,610,Mitchell County Schools,3.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,Mount Airy City Schools,-0.28,-0.22,,,0.26,-0.4,,-0.8,0.11,,0.24
620,Montgomery County Schools,0,0,3,0,0,0,0,5,10,0,4,0,0,0,0,0,22,3786,5.81,,,,,,,620,Montgomery County Schools,15.0,7.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,Nash-Rocky Mount Schools,-1.022,-4.946000000000001,,,-3.676,-4.0760000000000005,-0.38,-0.10000000000000003,-2.6875,-0.41,-3.704
630,Moore County Schools,0,0,12,1,0,0,0,4,42,0,19,0,0,1,0,0,79,12668,6.24,,,,,,,630,Moore County Schools,31.0,9.0,22.0,0.0,2.0,3.0,0.0,4.0,0.0,22.0,New Hanover County Schools,-2.0066666666666677,-3.563333333333334,,-0.21,-1.9116666666666664,-2.9416666666666664,0.46,-0.14500000000000013,-2.1675,-1.43,-2.91
640,Nash-Rocky Mount Schools,0,0,3,0,0,0,0,1,21,1,9,0,0,0,0,0,35,14763,2.37,,,,,,,640,Nash-Rocky Mount Schools,103.0,41.0,62.0,0.0,60.0,15.0,1.0,2.0,0.0,25.0,Newton Conover City Schools,0.31999999999999995,0.69,,,-0.14,0.42,-0.18,2.98,-0.77,-0.74,-0.044999999999999984
650,New Hanover County Schools,5,1,14,1,0,0,0,2,65,2,17,0,0,10,1,0,118,25512,4.63,,,,,,,650,New Hanover County Schools,108.0,43.0,65.0,1.0,37.0,19.0,0.0,6.0,0.0,45.0,Northampton County Schools,,-2.42,,,-2.225,-1.825,,,-1.08,,
660,Northampton County Schools,1,0,2,1,0,0,0,1,5,0,0,0,0,0,0,0,10,1517,6.59,,,,,,,660,Northampton County Schools,25.0,9.0,16.0,0.0,17.0,1.0,0.0,1.0,0.0,6.0,Onslow County Schools,0.009999999999999978,2.111428571428571,,0.67,0.35999999999999993,1.2742857142857142,,1.4257142857142855,-0.5057142857142857,1.02,1.3214285714285714
670,Onslow County Schools,0,0,28,0,0,0,1,10,55,0,22,0,0,7,0,0,123,26410,4.66,,,,,,,670,Onslow County Schools,119.0,48.0,71.0,2.0,20.0,18.0,0.0,11.0,0.0,68.0,Orange County Schools,1.935,1.406666666666667,,,0.325,0.2133333333333333,1.615,1.3099999999999998,-0.5133333333333333,-0.12,2.22
680,Orange County Schools,0,1,24,0,0,0,1,3,15,1,6,1,0,1,8,0,61,7276,8.38,,,,,,,680,Orange County Schools,43.0,19.0,24.0,0.0,7.0,16.0,0.0,2.0,0.0,18.0,Pamlico County Schools,3.12,-1.9,,,-1.68,-2.28,,0.02,-0.71,,-2.45
681,Chapel Hill-Carrboro City Schools,0,0,5,0,0,0,0,6,37,0,9,0,0,1,2,0,60,12296,4.88,,,,,,,681,Chapel Hill-Carrboro City Schools,38.0,12.0,26.0,2.0,9.0,18.0,0.0,1.0,0.0,8.0,Pasquotank County Schools,-0.365,-5.35,,,-2.415,-4.535,,-1.49,-2.16,,-4.815
690,Pamlico County Schools,0,0,0,0,0,0,0,0,5,0,6,0,0,0,1,0,12,1308,9.17,,,,,,,690,Pamlico County Schools,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Pender County Schools,0.7233333333333333,1.11,,,-0.93,0.4133333333333334,1.43,1.02,-1.545,-0.505,0.6433333333333334
700,Elizabeth City-Pasquotank Public Schools,0,0,0,0,0,0,0,3,2,0,10,0,0,0,0,0,15,5355,2.8,,,,,,,710,Pender County Schools,49.0,13.0,36.0,0.0,8.0,9.0,0.0,6.0,5.0,25.0,Perquimans County Schools,2.72,-1.42,,,-1.01,-3.01,,,-3.16,,0.02
710,Pender County Schools,0,1,2,0,0,0,0,4,18,0,4,0,0,0,0,0,29,9161,3.17,,,,,,,720,Perquimans County Schools,7.0,3.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,Person County Schools,-6.54,-5.97,,,-2.43,-4.02,,0.18,-2.76,-2.43,-5.08
720,Perquimans County Schools,0,0,0,0,0,0,0,7,5,0,9,0,0,0,0,0,21,1607,13.07,,,,,,,730,Person County Schools,39.0,21.0,18.0,0.0,9.0,5.0,0.0,2.0,0.0,23.0,Pitt County Schools,-0.040000000000000036,-0.15142857142857138,,,-0.4228571428571429,-0.6014285714285714,1.505,1.0083333333333333,-0.8783333333333333,-0.585,-0.4285714285714285
730,Person County Schools,0,0,5,0,0,0,0,0,32,0,9,0,0,1,0,0,47,4305,10.92,,,,,,,740,Pitt County Schools,116.0,36.0,80.0,1.0,70.0,12.0,0.0,7.0,0.0,26.0,Polk County Schools,0.23,-1.045,,,,-0.27,,-0.32,-2.33,,-0.8649999999999999
740,Pitt County Schools,1,0,30,1,4,0,0,9,57,1,45,0,0,1,0,0,149,23228,6.41,,,,,,,750,Polk County Schools,12.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,Randolph County Schools,-0.722857142857143,1.8,,1.98,1.88,1.22,0.9425,2.0,-0.4816666666666666,0.38333333333333336,0.4285714285714287
750,Polk County Schools,0,0,2,0,0,0,0,8,8,0,2,0,0,0,0,0,20,2100,9.52,,,,,,,760,Randolph County School System,68.0,26.0,42.0,0.0,3.0,9.0,0.0,4.0,0.0,52.0,Regional Schools,,-1.2,,,,-0.42,,,,,-1.23
760,Randolph County School System,0,0,5,0,0,0,0,14,90,1,31,0,0,0,0,0,141,15853,8.89,,,,,,,761,Asheboro City Schools,30.0,11.0,19.0,0.0,5.0,10.0,0.0,2.0,0.0,13.0,Richmond County Schools,-3.4799999999999995,-3.1525000000000003,-1.69,,-3.2533333333333334,-3.373333333333333,-2.73,-3.06,-2.63,-2.0,-3.96
761,Asheboro City Schools,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,10,4459,2.24,,,,,,,770,Richmond County Schools,63.0,30.0,33.0,0.0,19.0,11.0,2.0,5.0,0.0,26.0,Roanoke Rapids City Schools,-2.53,-2.745,,,-1.09,-1.885,,-2.17,-1.62,,-2.355
770,Richmond County Schools,0,0,2,0,0,0,0,5,26,0,15,0,0,0,0,0,48,7045,6.81,,,,,,,780,Public Schools of Robeson County,191.0,69.0,122.0,2.0,33.0,16.0,106.0,8.0,0.0,26.0,Robeson County Schools,0.1328571428571428,-0.8171428571428571,-1.1800000000000002,,-0.9266666666666667,-1.092857142857143,-0.023333333333333355,0.5850000000000001,-1.9083333333333328,0.12400000000000005,-0.8650000000000001
780,Public Schools of Robeson County,0,0,8,1,1,0,0,10,122,2,14,0,0,0,1,0,159,21487,7.4,,,,,,,790,Rockingham County Schools,77.0,26.0,51.0,0.0,8.0,10.0,1.0,1.0,0.0,57.0,Rockingham County Schools,-2.734,-3.3440000000000003,,,-0.962,-2.59,-1.4166666666666667,-1.1,-1.2475,-0.66,-2.5900000000000003
790,Rockingham County Schools,1,0,14,0,0,0,0,8,52,0,14,0,0,0,0,0,89,11534,7.72,,,,,,,800,Rowan-Salisbury Schools,132.0,46.0,86.0,0.0,33.0,17.0,0.0,7.0,5.0,74.0,Rowan-Salisbury Schools,-0.86,-2.07,,,-1.04,-1.5457142857142856,-0.4240000000000001,-0.54,-0.4416666666666667,-0.765,-1.5800000000000003
800,Rowan-Salisbury Schools,2,0,2,0,0,0,0,8,78,4,19,0,0,5,0,0,118,18592,6.35,,,,,,,810,Rutherford County Schools,47.0,15.0,32.0,0.0,6.0,1.0,0.0,4.0,0.0,36.0,Rutherford County Schools,-1.085,0.3174999999999998,,,1.1900000000000002,-0.24499999999999994,,2.293333333333333,-0.59,-0.95,-0.315
810,Rutherford County Schools,0,0,3,0,0,0,0,1,11,0,12,0,0,0,0,0,27,7775,3.47,,,,,,,820,Sampson County Schools,90.0,34.0,56.0,0.0,16.0,35.0,0.0,4.0,5.0,33.0,Sampson County Schools,0.010000000000000007,1.49,,,0.242,1.5220000000000002,0.12999999999999998,1.38,-1.1566666666666665,,0.17800000000000002
820,Sampson County Schools,1,0,1,1,0,0,0,2,23,0,8,0,0,0,0,0,36,7934,4.54,,,,,,,821,Clinton City Schools,4.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,Scotland County Schools,-0.9000000000000001,-2.46,-1.75,,-3.2,-1.93,,,-3.46,-1.18,-2.015
821,Clinton City Schools,0,0,2,0,0,0,0,1,10,1,5,0,0,0,0,0,19,2936,6.47,,,,,,,830,Scotland County Schools,23.0,7.0,16.0,0.0,6.0,1.0,11.0,4.0,0.0,1.0,Stanly County Schools,0.09499999999999996,-1.5566666666666666,,,-1.2533333333333332,-1.68,,0.01,-1.8725,2.45,-1.4940000000000002
830,Scotland County Schools,0,0,5,1,0,0,0,0,15,0,12,0,0,0,0,0,33,5538,5.96,,,,,,,840,Stanly County Schools,51.0,19.0,32.0,0.0,4.0,5.0,0.0,6.0,0.0,36.0,Stokes County Schools,0.6399999999999999,2.595,,,-0.74,1.99,,0.51,0.5166666666666667,0.15,2.0975
840,Stanly County Schools,0,0,5,0,0,0,0,3,9,0,12,0,0,0,0,0,29,8289,3.5,,,,,,,850,Stokes County Schools,55.0,17.0,38.0,0.0,1.0,4.0,0.0,0.0,0.0,50.0,Surry County Schools,0.5675,-1.0799999999999998,,,0.58,-0.92,0.10499999999999997,-0.555,-1.8233333333333333,,-1.3325
850,Stokes County Schools,0,0,2,0,0,0,0,9,9,0,5,0,0,1,0,0,26,5747,4.52,,,,,,,860,Surry County Schools,45.0,18.0,27.0,1.0,1.0,9.0,0.0,3.0,0.0,31.0,Swain County Schools,-0.61,-5.26,-1.2,,,-3.72,,,-2.16,-1.77,-4.53
860,Surry County Schools,0,0,2,0,0,0,0,6,19,0,7,0,0,0,0,0,34,7549,4.5,,,,,,,861,Elkin City Schools,5.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,Thomasville City Schools,-1.21,0.6449999999999999,,,-0.39,-1.02,0.4,1.04,-1.9,,-0.61
861,Elkin City Schools,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1171,0.85,,,,,,,862,Mount Airy City Schools,11.0,5.0,6.0,0.0,1.0,3.0,0.0,2.0,0.0,5.0,Transylvania County Schools,1.19,-0.3066666666666666,,,-0.22,-0.9299999999999998,,-0.02,-2.255,1.1,-0.11000000000000006
862,Mount Airy City Schools,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,4,1611,2.48,,,,,,,870,Swain County Schools,32.0,11.0,21.0,0.0,5.0,1.0,6.0,3.0,0.0,21.0,Tyrrell County Schools,,-1.06,,,-0.68,-0.32,,,,,-1.0
870,Swain County Schools,0,0,4,0,0,0,0,6,8,1,0,0,0,0,0,0,19,1913,9.93,,,,,,,880,Transylvania County Schools,30.0,13.0,17.0,0.0,1.0,2.0,0.0,2.0,0.0,25.0,Union County Public Schools,1.6863636363636367,3.8663636363636362,,1.755,0.884,1.167,0.4380000000000001,1.7945454545454549,-0.4855555555555557,0.5379999999999999,2.7027272727272726
880,Transylvania County Schools,0,0,3,0,0,0,0,3,10,0,4,0,0,0,0,0,20,3308,6.05,,,,,,,890,Tyrrell County Schools,3.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,Vance County Schools,-0.7,-0.815,,,-1.27,-0.4149999999999999,,0.505,-1.16,,0.48
890,Tyrrell County Schools,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,626,3.19,,,,,,,900,Union County Public Schools,124.0,33.0,91.0,0.0,38.0,39.0,0.0,3.0,0.0,44.0,Wake County Schools,-1.0380769230769231,-0.7913793103448277,,0.7689473684210526,-0.31555555555555553,-0.9939285714285714,-0.3809090909090909,-0.4288461538461539,-1.0450000000000002,-0.4231818181818181,-0.9540740740740744
900,Union County Public Schools,0,0,35,1,0,0,0,17,154,3,69,0,0,1,1,0,281,41149,6.83,,,,,,,910,Vance County Schools,36.0,15.0,21.0,0.0,22.0,4.0,0.0,4.0,0.0,6.0,Warren County Schools,-0.17,0.030000000000000027,,,-0.25,-0.7766666666666665,,,-1.78,,-1.59
910,Vance County Schools,0,0,5,0,0,0,0,0,20,1,6,0,0,1,0,0,33,5433,6.07,,,,,,,920,Wake County Schools,762.0,257.0,505.0,10.0,289.0,277.0,5.0,24.0,4.0,153.0,Washington County Schools,,1.645,,,1.125,0.29,,,,,
920,Wake County Schools,1,0,72,1,0,0,0,58,411,5,192,0,0,16,0,0,756,159588,4.74,,,,,,,930,Warren County Schools,23.0,5.0,18.0,0.0,14.0,2.0,0.0,1.0,0.0,6.0,Watauga County Schools,-2.43,0.34500000000000003,,,,-0.195,,0.86,-1.27,,-0.425
930,Warren County Schools,1,0,1,0,0,0,0,0,12,0,7,0,0,0,1,0,22,1879,11.71,,,,,,,940,Washington County Schools,12.0,6.0,6.0,0.0,8.0,2.0,0.0,1.0,0.0,1.0,Wayne County Public Schools,-1.285,-2.9614285714285717,,,-1.9828571428571435,-2.89,-0.5633333333333334,-0.6566666666666666,-1.2583333333333333,-0.445,-1.78
940,Washington County Schools,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1266,1.58,,,,,,,950,Watauga County Schools,11.0,1.0,10.0,0.0,0.0,2.0,5.0,0.0,0.0,8.0,Weldon City Schools,,-2.27,,,-1.9,-1.34,,,,,
950,Watauga County Schools,0,1,0,0,0,0,0,8,25,0,9,0,0,2,0,0,45,4549,9.89,,,,,,,960,Wayne County Public Schools,153.0,60.0,93.0,2.0,49.0,51.0,0.0,10.0,0.0,41.0,Whiteville City Schools,-0.9,-0.87,,,-0.44,-0.77,,-0.59,0.06,0.59,-0.17
960,Wayne County Public Schools,0,0,7,2,0,0,0,7,29,2,26,0,0,0,0,0,73,18039,4.05,,,,,,,970,Wilkes County Schools,69.0,32.0,37.0,0.0,1.0,8.0,0.0,4.0,0.0,56.0,Wilkes County Schools,0.10000000000000013,-0.05799999999999993,,,-1.17,-0.402,,0.009999999999999952,-1.2425000000000002,-1.95,-4.440892098500625e-17
970,Wilkes County Schools,1,0,6,0,0,0,0,25,29,0,5,0,0,1,2,0,69,8972,7.69,,,,,,,980,Wilson County Schools,103.0,31.0,72.0,0.0,55.0,24.0,0.0,3.0,0.0,21.0,Wilson County Schools,-0.26,2.15,,,1.33,1.29,0.015000000000000013,0.89,-0.5666666666666667,,0.8425
980,Wilson County Schools,0,1,11,2,0,0,0,0,39,5,19,0,0,0,0,0,77,11024,6.98,,,,,,,990,Yadkin County Schools,4.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,Yadkin County Schools,-1.39,-1.1133333333333333,,,,0.11333333333333327,0.49,1.0,-1.06,,-1.8633333333333333
990,Yadkin County Schools,0,0,1,0,0,0,0,6,22,0,6,0,0,0,5,0,40,5122,7.81,,,,,,,995,Yancey County Schools,19.0,6.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,,,,,,,,,,,,
995,Yancey County Schools,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2105,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
