LEA_CODE,LEA_NAME,AR,AW,AP,BT,BS,D,K,PA,PS,PF,PW,R,RW,SA,SO,IM,# of acts,ADM,crime_rate,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,LEA_CODE,LEA_Name,d_Total,d_Female,d_Male,d_Asian,d_Black,d_Hispanic,d_American_Indian,d_Two-or-More-Races,d_NHPI,d_White,District_Name,Growth_AIG,All Students,Growth_American Indian,Growth_Asian,Growth_Black,Growth_ED,Growth_ELL,Growth_Hispanic,Growth_SwD,Growth_MultiRacial,Growth_White
150,Camden County Schools,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,5,1854,2.7,,,,,,,160,Carteret County Public Schools,27.0,7.0,20.0,0.0,1.0,1.0,0.0,3.0,0.0,22.0,Camden County Schools,-0.14,-0.28500000000000003,,,-0.05,-1.48,,,-1.85,,-0.41
160,Carteret County Public Schools,3,0,20,2,1,0,0,5,20,2,11,0,0,1,6,0,71,7986,8.89,,,,,,,170,Caswell County Schools,16.0,4.0,12.0,0.0,6.0,3.0,0.0,0.0,0.0,7.0,Carteret County Public Schools,3.483333333333333,8.023333333333332,,,2.465,4.163333333333333,1.88,2.805,0.48,1.28,6.803333333333334
170,Caswell County Schools,0,0,0,0,0,0,0,7,3,0,1,0,0,0,0,0,11,2425,4.54,,,,,,,180,Catawba County Schools,96.0,39.0,57.0,0.0,10.0,15.0,5.0,7.0,0.0,63.0,Caswell County Schools,0.08,-4.4,,,-2.1,-3.71,,-1.14,-0.94,,-3.52
180,Catawba County Schools,0,0,9,0,0,0,0,27,41,0,16,0,0,0,2,0,95,15724,6.04,,,,,,,181,Hickory City Schools,17.0,6.0,11.0,0.0,6.0,0.0,0.0,1.0,0.0,10.0,Catawba County Schools,1.055,1.8783333333333327,,0.904,-1.0166666666666666,0.8699999999999998,0.04249999999999997,0.59,-0.45799999999999996,0.71,1.1283333333333334
181,Hickory City Schools,0,0,0,1,0,0,0,2,13,1,6,0,0,0,0,0,23,4042,5.69,,,,,,,182,Newton Conover City Schools,17.0,11.0,6.0,0.0,2.0,8.0,0.0,3.0,0.0,4.0,Chapel Hill-Carrboro Schools,1.5033333333333332,5.176666666666667,,2.06,0.68,1.97,2.4033333333333333,2.473333333333333,0.2866666666666666,0.7266666666666667,3.9500000000000006
182,Newton Conover City Schools,0,0,0,0,0,0,0,6,7,0,4,0,0,0,0,0,17,2939,5.78,,,,,,,190,Chatham County Schools,33.0,12.0,21.0,0.0,4.0,15.0,0.0,0.0,0.0,14.0,Charlotte-Mecklenburg Schools,0.3711764705882353,0.8448148148148149,,1.7683333333333335,0.020399999999999918,-0.2304,0.8466666666666667,1.2356521739130435,-0.5478947368421052,0.34142857142857136,1.0570000000000002
190,Chatham County Schools,0,0,4,0,0,0,0,10,26,1,15,0,0,0,0,0,56,8809,6.36,,,,,,,200,Cherokee County Schools,13.0,4.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,Charter Schools,,-1.1175000000000002,,1.095,-2.2880000000000003,-3.275,,-1.125,-1.4500000000000002,0.0,0.4380000000000001
200,Cherokee County Schools,0,0,2,0,0,0,0,11,4,0,0,0,0,0,1,0,18,3113,5.78,,,,,,,210,Edenton-Chowan Schools,10.0,4.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,Chatham County Schools,0.6833333333333332,0.54,,,-0.015,-0.2833333333333333,-0.98,1.3066666666666664,-0.9366666666666666,0.59,-0.4966666666666666
210,Edenton-Chowan Schools,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,5,1935,2.58,,,,,,,220,Clay County Schools,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Cherokee County Schools,-1.23,-0.895,,,,-0.2774999999999999,,,-0.99,,-0.9300000000000002
220,Clay County Schools,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,5,1274,3.92,,,,,,,230,Cleveland County Schools,153.0,55.0,98.0,0.0,37.0,6.0,5.0,11.0,0.0,98.0,Clay County Schools,,0.59,,,,-0.93,,,-0.85,,0.59
