LEA_CODE,LEA_NAME,AR,AW,AP,BT,BS,D,K,PA,PS,PF,PW,R,RW,SA,SO,IM,# of acts,ADM,crime_rate,,,,,,
440,Haywood County Schools,1,0,3,0,0,0,0,16,32,0,12,0,0,0,0,0,64,7026,9.11,,,,,,
450,Henderson County Schools,0,0,5,0,0,0,0,3,49,0,2,0,0,0,1,0,60,13151,4.56,,,,,,
460,Hertford County Schools,0,0,3,0,0,0,0,1,4,0,3,0,0,0,0,0,11,2682,4.10,,,,,,
470,Hoke County Schools,1,0,9,0,0,0,0,1,23,1,7,0,0,0,0,0,42,8696,4.83,,,,,,
480,Hyde County Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0.00,,,,,,
490,Iredell-Statesville Schools,2,0,11,1,0,0,0,16,54,2,14,0,0,2,2,0,104,20155,5.16,,,,,,
491,Mooresville Graded School District,1,0,4,1,0,0,0,12,12,1,3,0,0,1,0,0,35,5966,5.87,,,,,,
500,Jackson County Public Schools,0,0,4,0,0,0,0,0,15,1,3,0,0,0,0,0,23,3584,6.42,,,,,,
510,Johnston County Schools,0,0,12,2,0,0,0,11,68,1,43,0,0,0,0,0,137,36210,3.78,,,,,,
520,Jones County Schools,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,6,1007,5.96,,,,,,
530,Lee County Schools,0,0,32,0,0,0,0,11,57,1,26,0,0,4,7,0,138,9790,14.10,,,,,,
540,Lenoir County Public Schools,0,0,4,0,0,0,0,2,16,0,12,0,0,0,0,0,34,8425,4.04,,,,,,
550,Lincoln County Schools,0,0,7,0,0,0,0,7,42,0,14,0,0,0,0,0,70,11344,6.17,,,,,,
560,Macon County Schools,0,1,14,0,0,0,0,6,5,0,1,0,0,1,0,0,28,4367,6.41,,,,,,
570,Madison County Schools,0,0,0,1,0,0,0,3,4,0,1,0,0,0,0,0,9,2234,4.03,,,,,,
580,Martin County Schools,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,7,2898,2.42,,,,,,
590,McDowell County Schools,0,0,1,0,0,0,0,11,64,0,6,0,0,0,1,0,83,5871,14.14,,,,,,
600,Charlotte-Mecklenburg Schools,0,8,239,0,0,0,0,85,545,22,277,0,0,24,0,0,1200,146661,8.18,,,,,,
610,Mitchell County Schools,0,0,0,0,0,0,0,0,8,1,5,0,0,1,0,0,15,1824,8.22,,,,,,
620,Montgomery County Schools,0,0,3,0,0,0,0,5,10,0,4,0,0,0,0,0,22,3786,5.81,,,,,,
630,Moore County Schools,0,0,12,1,0,0,0,4,42,0,19,0,0,1,0,0,79,12668,6.24,,,,,,
640,Nash-Rocky Mount Schools,0,0,3,0,0,0,0,1,21,1,9,0,0,0,0,0,35,14763,2.37,,,,,,
650,New Hanover County Schools,5,1,14,1,0,0,0,2,65,2,17,0,0,10,1,0,118,25512,4.63,,,,,,
660,Northampton County Schools,1,0,2,1,0,0,0,1,5,0,0,0,0,0,0,0,10,1517,6.59,,,,,,
670,Onslow County Schools,0,0,28,0,0,0,1,10,55,0,22,0,0,7,0,0,123,26410,4.66,,,,,,
680,Orange County Schools,0,1,24,0,0,0,1,3,15,1,6,1,0,1,8,0,61,7276,8.38,,,,,,
681,Chapel Hill-Carrboro City Schools,0,0,5,0,0,0,0,6,37,0,9,0,0,1,2,0,60,12296,4.88,,,,,,
690,Pamlico County Schools,0,0,0,0,0,0,0,0,5,0,6,0,0,0,1,0,12,1308,9.17,,,,,,
700,Elizabeth City-Pasquotank Public Schools,0,0,0,0,0,0,0,3,2,0,10,0,0,0,0,0,15,5355,2.80,,,,,,
710,Pender County Schools,0,1,2,0,0,0,0,4,18,0,4,0,0,0,0,0,29,9161,3.17,,,,,,
720,Perquimans County Schools,0,0,0,0,0,0,0,7,5,0,9,0,0,0,0,0,21,1607,13.07,,,,,,
730,Person County Schools,0,0,5,0,0,0,0,0,32,0,9,0,0,1,0,0,47,4305,10.92,,,,,,
740,Pitt County Schools,1,0,30,1,4,0,0,9,57,1,45,0,0,1,0,0,149,23228,6.41,,,,,,
750,Polk County Schools,0,0,2,0,0,0,0,8,8,0,2,0,0,0,0,0,20,2100,9.52,,,,,,
760,Randolph County School System,0,0,5,0,0,0,0,14,90,1,31,0,0,0,0,0,141,15853,8.89,,,,,,
761,Asheboro City Schools,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,10,4459,2.24,,,,,,
770,Richmond County Schools,0,0,2,0,0,0,0,5,26,0,15,0,0,0,0,0,48,7045,6.81,,,,,,
780,Public Schools of Robeson County,0,0,8,1,1,0,0,10,122,2,14,0,0,0,1,0,159,21487,7.40,,,,,,
790,Rockingham County Schools,1,0,14,0,0,0,0,8,52,0,14,0,0,0,0,0,89,11534,7.72,,,,,,
800,Rowan-Salisbury Schools,2,0,2,0,0,0,0,8,78,4,19,0,0,5,0,0,118,18592,6.35,,,,,,
810,Rutherford County Schools,0,0,3,0,0,0,0,1,11,0,12,0,0,0,0,0,27,7775,3.47,,,,,,
820,Sampson County Schools,1,0,1,1,0,0,0,2,23,0,8,0,0,0,0,0,36,7934,4.54,,,,,,
821,Clinton City Schools,0,0,2,0,0,0,0,1,10,1,5,0,0,0,0,0,19,2936,6.47,,,,,,
830,Scotland County Schools,0,0,5,1,0,0,0,0,15,0,12,0,0,0,0,0,33,5538,5.96,,,,,,
840,Stanly County Schools,0,0,5,0,0,0,0,3,9,0,12,0,0,0,0,0,29,8289,3.50,,,,,,
